Timestamp,What is your Gender?,What age group do you fall under,Which economic class do you fall under? (approximate),Which of the following do you own?,Are you a regular Social Media User?,How much time do you spend on social media every day? (mention as number of hours),Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Facebook],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Instagram],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Twitter],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Linkedin],Score your social media usage for the following platforms from 1 to 5 - 5 being most used [Tik Tok],"What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [Timepass]","What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [Networking]","What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [For new content]","What are the reasons for you to use social media? Rate each reason from 1 to 5, 5 being the highest [News]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Easy to use user interface]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Strong Privacy control]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [ability to choose preferred content]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Aesthetically pleasing user interface]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Customization options (profile, user interface etc)]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Push Notifications]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [Contests and Events]","What are the features you look for in a social media platform? (rate from 1 to 5,  being more important) [More messaging options (like instant chat)]","If a social media platform were to be Gamified (addition of classes, guilds/clans, contests, events etc), how likely are you to use it?",What are the likely reasons for you not to use social media?,Any reasons not mentioned above?,If you are given the option of a social media specific to your interests will you use it?,Which of the following are your talents/skills/interests ? ,List any interests NOT mentioned above,"Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Coder/Hacker/Electronics Enthusiast/GameDev]","Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Content Creator (Audio/Video/Photo/Art/Text)]","Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Fitness/Sports/Travel/Adventure]","Would you more or less identify with one of the following classes? (rate 1-5, 5 means having more affinity) [Finance matters/stock market/fantasy sports leagues etc]",How regularly do you participate in competitions/contests?,"If you are provided an easy to use platform to participate in or host competitions in your area of interests, how likely are you to use it?",
9/16/2022 20:00:39,Female,>45,Don't want to say,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",No,,,,,,,,,,,,,,,,,,,,more of a real-world person,,No,"Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)","Music concerts , theatre",1,4,3,2,1,1,
9/18/2022 13:50:40,Female,10-17,,"Laptop, Mobile Phone, Smart Watch",Yes,3,3,5,5,1,4,5,2,3,4,4,5,4,4,5,4,3,5,5,,,,"Artist, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Collector (Coins, stamps, cards, posters, etc)",,1,4,4,1,3,3,
9/18/2022 14:29:27,Male,10-17,Don't want to say,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,3,2,4,2,3,4,4,4,4,4,5,5,5,5,5,4,4,5,5,,,,"Gaming, Coder/Hacker, Stock Market, Entrepreneurship",,5,3,3,5,3,4,
9/16/2022 22:21:25,Female,10-17,Middle Class,Mobile Phone,Yes,5,0,2,1,1,0,"1, 2, 3, 4, 5",2,3,2,4,5,2,"2, 5",3,2,2,4,5,,,,"Gaming, Coder/Hacker, Writer (Stories/Scripts etc), Photographer, Fantasy Sports Leagues, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D)",Yoga,5,5,5,1,2,2,
9/18/2022 13:50:16,Female,10-17,Upper Class,"Laptop, Mobile Phone, Smart Watch, Tablet",Yes,6,0,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,"Gaming, Coder/Hacker, Electronics Enthusiast (Building Devices etc), Game Developer, Artist, Musician, Dancer, Writer (Stories/Scripts etc), Filmmaker, Video Maker/Editor, Photographer, Fantasy Sports Leagues, Fitness enthusiast, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc), Sports (Real world :-D), Stock Market, Entrepreneurship, Collector (Coins, stamps, cards, posters, etc)",,5,5,5,5,5,5,
9/16/2022 22:34:47,Female,10-17,Middle Class,Mobile Phone,Yes,7,0,2,0,0,0,1,1,2,2,1,1,1,1,1,1,2,1,5,,,,"Musician, Travel and exploring, Adventure (Trekking, Biking, Hiking, etc)",Singing ,1,2,2,1,2,3,
9/18/2022 13:51:46,Female,10-17,Middle Class,"Laptop, Mobile Phone, Tablet",No,,,,,,,,,,,,,,,,,,,,"It is a waste of time, too much misinformation or cluttered information, more of a real-world person",,Yes,"Coder/Hacker, Artist, Musician, Dancer, Photographer",,3,3,2,3,2,2,
9/18/2022 13:49:37,Female,18-25,Middle Class,"Laptop, Mobile Phone",Yes,0.5,0,2,0,0,0,3,2,1,1,5,5,5,5,5,5,5,5,5,,,,"Gaming, Artist, Musician, Dancer, Video Maker/Editor, Photographer",,4,3,4,1,2,4,
9/16/2022 21:51:18,Male,18-25,Don't want to say,"Laptop, Mobile Phone, Desktop, Smart Watch, Tablet",Yes,1,0,3,0,1,0,2,4,3,3,5,5,4,3,5,2,1,5,4,,,,"Gaming, Coder/Hacker",,3,1,3,3,2,1,
9/16/2022 22:03:47,Male,18-25,Lower Class,Mobile Phone,Yes,1,3,2,0,2,0,2,3,5,4,5,5,5,5,5,3,5,5,3,,,,"Gaming, Entrepreneurship",,1,1,1,1,3,4,
